account_name,hashtags,post_text,post_date,crawl_time,post_url
@sh.cookkook,"#강남친구네, #닭발, #우정닭발, #강남맛집, #강남술집, #맛집추천","sh.cookkook
우정닭발 강남 2호점? 어디? 누가?
신당동 우정닭발은 체인점을 안내주기로
유명한곳으로 아는데..?

신당동에선 웨이팅해도 먹기 어렵다는 그
유명한 닭발을 이젠 강남에서 먹다니 이거
진짜 지금이 기회입니다ㅜㅜ

체인점인줄 알고 냅다 달려갔는데 그게 아니라
요기 사장님이 우정닭발사장님 절친이래요..!
신당동에 파는 우정닭발을 그대로 공수해
오시는건데, 진짜 진짜 우정닭발 그자체
중독성미침..

이미 소문듣고 오신건지 오픈시간인데도
다들 줄서고 계시더라구요..?ㄷㄷ 평일에
이정도인데 주말엔 어떨련지ㅠㅠ 최대한
빨리 방문하는 게 이득임>.<

📍강남친구네
📍서울 강남구 테헤란로1길 28-4 3층
📍일-목 16:00-01:00 / 금-토 16:00-02:00

맛집 콕 찝어서 알려줄게요! 신콕💖
@sh.cookkook
@sh.cookkook
@sh.cookkook
-
-
-
#강남친구네 #닭발 #우정닭발 #강남맛집 #강남술집 #맛집추천
6시간",2024-08-28 08:56:58,2024-08-29 00:22:33,https://www.instagram.com/sh.cookkook/reel/C_NSq35SLqD/
@sh.cookkook,"#하트티라미수, #깨먹는티라미수, #티라미수, #더현대, #더현대디저트, #디저트추천, #선물추천","sh.cookkook
NEW 깨먹는 오레오 티라미수?

더현대가면 꼭 사거나 구경가는 디저트
하트티라미수💓에서 드디어 신상 떴다!

바로 오레오 맛인데, 오레오쿠키가 층층이
쌓여있어 먹을 때마다 익숙하면서 부드러운
그 맛.. 커피랑 먹으니 진짜 순삭ㅠㅡㅠ

핑크크림 올라간 라떼들도 색감 존예였고,
1리터 아메리카놐ㅋㅋ더현대 돌아다니면서
갈증날 일은 없겠네욬ㅋㅋ 사이즈 굿!

📍하트티라미수 더현대서울점
📍서울 영등포구 여의대로 108 더현대서울 지하1층
📍월-목 10:30-20:00 / 금-일 10:30-20:30

맛집 콕 찝어서 알려줄게요! 신콕💖
@sh.cookkook
@sh.cookkook
@sh.cookkook
-
-
-
#하트티라미수 #깨먹는티라미수 #티라미수 #더현대 #더현대디저트 #디저트추천 #선물추천
13시간",2024-08-28 02:01:45,2024-08-29 00:22:44,https://www.instagram.com/sh.cookkook/reel/C_MjKDGyot0/
@sh.cookkook,"#석쇳집, #구디맛집, #구로맛집, #뭉티기, #갑오징어, #맛집추천","sh.cookkook
당일도축 후 KTX타고오는 대구뭉티기

어떤지 쫀득보다 쫜딕하고 식감이 미쳤더라
뭉티기 정말 많이 먹어봤지만 여기 식감이
진짜 역대급..ㅠ

심지어 석쇠버터구이도 같이 즐길 수 있으니
이보다 완벽한 조합은 없쥬? 오동통 갑오징어
식감미쳤고, 미나리무침이랑 먹으면 꿀조합..

저 진짜 늦게간 것도 아닌데 오픈시간부터
예약에 웨이팅손님에 진짜 난리였어욬ㅋㅋ
구디직장러가 왜 꽁꽁 숨겨두는지 알듯 ㅠ

📍석쇳집
📍서울 구로구 디지털로32나길 17-9
📍월-토 17:00-24:00

맛집 콕 찝어서 알려줄게요! 신콕💖
@sh.cookkook
@sh.cookkook
@sh.cookkook
-
-
-
#석쇳집 #구디맛집 #구로맛집 #뭉티기 #갑오징어 #맛집추천
1일",2024-08-27 08:48:01,2024-08-29 00:22:55,https://www.instagram.com/sh.cookkook/reel/C_Ks1gdyYx2/
@yesri_24,,"wonju__nadri
평창 밀브릿지👀

자연 속에서 진정한 힐링을
원한다면 평창 밀브릿지가 딱!
전나무 숲속에서 숙박하며
평온한 시간을 보낼 수 있는 곳🌿

숲멍하며 바라보는 풍경은
그야말로 예술, 밤하늘에 가득한
별들도 놓치지 마🌌

아침엔 숲속 산책로를 따라
걸으며 피톤치드를 느끼면 스트레스 사르르🥰

------------------------------------------
📍 강원 평창군 진부면 방아다리로 1011-26
⏰ 입실 15:00 - 퇴실 11:00
------------------------------------------
12시간",2024-08-28 02:41:19,2024-08-29 00:23:17,https://www.instagram.com/seoul__nadri/p/C_MnuelvwpY/
N/A,,"seoul__nadri
북촌 아이사구아👀

한옥의 고즈넉함 속에서
모던한 감성을 느낄 수 있는 아이사구아💛

한옥을 개조해 이국적인 분위기를 자아내며,
한옥 특유의 차분한 분위기 속에서
다양한 음료와 브런치를 즐길 수 있다구🍹🍴

------------------------------------------
📍 서울 종로구 북촌로 56 아이사구아
⏰ 매일 11:30 - 21:00
------------------------------------------
12시간",2024-08-28 02:39:26,2024-08-29 00:23:27,https://www.instagram.com/seoul__nadri/p/C_MngotTvdw/
N/A,,"seoul__nadri
부암동 더숲초소책방👀

인왕산의 숨은 보석 같은 카페 더숲 초소책방💛
숲속 테라스에서 달달한 커피 한 잔🌿
달콤한 디저트와 바삭바삭한 빵까지🍰
넘사벽 서울 뷰, 남산타워도 한눈에👀

------------------------------------------
📍 서울 종로구 인왕산로 172
⏰ 매일 08:00 - 22:00
------------------------------------------
1일",2024-08-27 05:13:36,2024-08-29 00:23:38,https://www.instagram.com/seoul__nadri/p/C_KUW7vzVpM/
@gong_jjung2,"#맛집추천, #카페추천, #서울맛집, #대전맛집, #대구맛집, #부산맛집, #제주도맛집, #경기도맛집, #인천맛집","teddy_zip_
🥄4년동안 부지런히 맛집 찾아 돌아다니며
15키로가 찐 먹을테디라고 합니다~!🥢

모든 사람의 입맛은 다 다르지만
매일 줄 서는 맛집, 핫플은
다 저마다 이유가 하나씩은 있더라구요?

아직 많이 부족하지만
팔로우해 주시고
알고계신 5번이상 간 찐맛집들을 알려주신다면
시간내어 꼭 가보도록 해보겠습니다😊🙏

찐맛집들이 널리널리 알려져서
집앞에도 생기길 바라며….
다들 오늘도 맛있는 하루 보내세요 :)

🚨가게명 원하시는 분들이 계셔서 영상 순서대로 아래 에 정리해서 적어둘게요☺️🙏
-투아투아 / 압구정
-굴뚝빵
-미쁘동/ 연어국수 / 성수
-또치/ 열잡채 / 신도림 테크노파크
-갓포마코토 / 강남
-아소토베이커리 / 아소토 오레 / 종로
-호박꽃마차/ 파우설/ 대전 갈마동
-7월 27일 / 크리스마스 시즌 케이크 / 송파
-하이웨스트 / 제니 케이크 예약해서 주문한 것 / 종
로
-아우룸 / 치즈휠 파스타 / 합정
-떡볶이상회 / 뚱땡이 당면 떡볶이 / 홍대
-아소토베이커리 / 아소토푸딩 / 종로
-베리베리베리머치/ 베리베리베리 파르페/ 용산
-순천미향 / 순살 은갈치조림 / 제주 서귀포
-브리비트 / 소금빵 카츠산도 하루 10개한정 / 성수
-고궁회관 / 가오리찜 / 속초
-온평바다한그릇 / 제주 성산
-올레시 야시장 / 오징어버터구이 / 제주 서귀포
-구오 / 샤오롱바오 / 명동 팝업스토어라 종료되었고 나중에 가게 오픈 예정이라고 들었어요!
-투아투아 / 압구정
-르뵈르 / 엄친딸+너티피넛버터 / 잠실
-루아앤티그리 / 부산
-갓포마코토 / 강남
-필앳홈/ 필앳홈 하우스 스테이크 / 잠실

#맛집추천 #카페추천 #서울맛집 #대전맛집 #대구맛집 #부산맛집 #제주도맛집 #경기도맛집 #인천맛집
수정됨 · 15주",2024-05-11 11:42:28,2024-08-29 00:24:00,https://www.instagram.com/teddy_zip_/reel/C4j-yClS5Ad/
@h.h0701,"#미쁘동, #성수동맛집, #성수동맛집추천, #성수맛집, #성수맛집추천, #성수데이트, #성수동데이트","teddy_zip_
뚱연어에 메밀국수,, 최애 조합🥰💯
기름진 연어랑 너무 잘어울린다 여기ㅜㅜ

몇 년 전 부터 단골인데🙈 이 집 카이센동 회도 신선하고 다양해서 너무 좋아하는데 먹고나서 육수 부워 먹는 것도 대박 맛나다💛 몸이 따뜻해지는!!ㅎㅎㅎ

넘 맛나고 가게도 이뻐서 데이트하러 오는거 짠강추ㅎㅎ! 맨날 멀리 홍대까지 갔는데 성수에도 생겨서 넘 좋잖아~~히히ㅎㅎㅎ😆

#미쁘동 성수점
✔️주소 : 서울 성동구 서울숲2길 11-12 2층(뚝섬역 8번출구에서 7분거리)
✔️시간 : 매일 11:00-22:00

#성수동맛집 #성수동맛집추천 #성수맛집 #성수맛집추천 #성수데이트 #성수동데이트
36주",2023-12-18 11:00:05,2024-08-29 00:24:11,https://www.instagram.com/teddy_zip_/p/C0_e5VhyeaN/
N/A,"#조이스, #조이스제주, #제주도카페, #제주도맛집추천, #제주도가볼만한곳, #서귀포맛집추천, #서귀포술집, #신화월드맛집, #신화월드술집, #신화월드근처맛집","teddy_zip_
역대급 와라비모찌 애플망고 빙수,,,🥰
여름이 지나도 이건 무조건 먹어야 해요!ㅎㅎㅎㅎ

애플망고 당도도 진짜 미쳤는데 달콤 보드라운 와라비모찌랑 조합 무슨일이냐구요ㅠㅠㅠㅠㅠ 정말 너무너무 맛있어요ㅠㅡㅠ 이거 하나 먹으러 서귀포 갈 예정입니다 또,,😭

사장님이 요리에 진심이셔서 그런지 후기 찾아보면 찐단골들이 그렇게 많더라구요 흡,, 집앞이였으면 저도 정말 자주 갔을 것 같은게 와인 안주도 정말 많아서 와인이랑 한 잔 하기에도 좋고 메뉴도 다양해서 브런치 먹으러가기에도 넘 좋거든요🥹♥️ 제가 특히 맛나게 먹었던건 갈릭 라이스, 트러플알감자구이, 애플망고빙수였는데 사장님도 넘 친절하시고 가게 분위기도 힐링되는 곳이라 또 가서 다른 메뉴들도 먹어보려구요 !!

#조이스 #조이스제주
✔️주소 : 제주 서귀포시 안덕면 녹차분재로 12 101동 1호, 2호
✔️시간 : 매일 11:00-24:00, 매주 월-화 정기휴무

#제주도카페 #제주도맛집추천 #제주도가볼만한곳 #서귀포맛집추천 #서귀포술집 #신화월드맛집 #신화월드술집 #신화월드근처맛집 #애플망고빙수 #망고빙수
수정됨 · 46분",2024-08-28 14:37:32,2024-08-29 00:24:21,https://www.instagram.com/teddy_zip_/reel/C_N4hh1yKy5/
N/A,"#신비주막, #방이동맛집, #잠실맛집, #방이먹자골목맛집, #방이먹자골목, #몽촌토성역맛집, #송파맛집, #묵은지참치김밥, #김밥맛집","hye_foodie_
국내유일(?) 에어컨바람 맞으면서 야장을 즐길수있는 잠실맛집ㅋㅋㅋㅋ

창문도 열리고 폴딩도어도 오픈돼서 진짜 딱 지금부터 가기좋은집인데 초크초크한 상코미 묵참에 전골까지 죄다맛있어요!

친구들이랑 여러번 간집인데 여기 꼬수운 소곱창 들어간 파전도 도른자임ㅋㅋㅋㅋㅋ

@@ 묵참 좋아해??🥹

▫️#신비주막
서울 송파구 올림픽로32길 19-9 1층
▫️매일 17:00-03:00

#방이동맛집 #잠실맛집 #방이먹자골목맛집 #방이먹자골목 #몽촌토성역맛집 #송파맛집 #묵은지참치김밥 #김밥맛집
1시간",2024-08-28 14:11:48,2024-08-29 00:24:43,https://www.instagram.com/hye_foodie_/reel/C_N1uu9SNlU/
